Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2022,YEAR,,STATE,MONTANA,30,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,112,
SURVEY,2022,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165,
SURVEY,2022,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,115,
SURVEY,2022,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149,
SURVEY,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,140,
SURVEY,2022,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,126,
SURVEY,2022,YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,131,
SURVEY,2022,YEAR,,STATE,OHIO,39,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,187,
SURVEY,2022,YEAR,,STATE,OKLAHOMA,40,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,122,
SURVEY,2022,YEAR,,STATE,OREGON,41,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,237,
SURVEY,2022,YEAR,,STATE,OTHER STATES,,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,0,
SURVEY,2022,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,140,
SURVEY,2022,YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,122,
SURVEY,2022,YEAR,,STATE,SOUTH DAKOTA,46,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,132,
SURVEY,2022,YEAR,,STATE,TENNESSEE,47,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,130,
SURVEY,2022,YEAR,,STATE,TEXAS,48,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,95,
SURVEY,2022,YEAR,,STATE,UTAH,49,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165,
SURVEY,2022,YEAR,,STATE,VIRGINIA,51,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,167,
SURVEY,2022,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,220,
SURVEY,2022,YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,168,
SURVEY,2022,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,180,
SURVEY,2022,YEAR,,STATE,WYOMING,56,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,153,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,ALABAMA,1,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,134,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,ARKANSAS,5,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,178,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,CALIFORNIA,6,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,220,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,COLORADO,8,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,118,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,DELAWARE,10,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,172,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,GEORGIA,13,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,166,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,IDAHO,16,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,210,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,ILLINOIS,17,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,203,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,189,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,IOWA,19,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,205,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,123,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,KENTUCKY,21,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,147,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,LOUISIANA,22,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,175,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,MARYLAND,24,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,172,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,170,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,MINNESOTA,27,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,193,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,MISSISSIPPI,28,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,178,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,MISSOURI,29,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,153,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,181,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,NEW YORK,36,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,150,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,NORTH CAROLINA,37,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,108,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,NORTH DAKOTA,38,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,145,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,OHIO,39,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,190,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,OKLAHOMA,40,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,130,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,OTHER STATES,,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,152.6,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,PENNSYLVANIA,42,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,158,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,SOUTH CAROLINA,45,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,128,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,SOUTH DAKOTA,46,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,147,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,TENNESSEE,47,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,130,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,TEXAS,48,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,120,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,VIRGINIA,51,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,WASHINGTON,53,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,255,
SURVEY,2022,YEAR - AUG FORECAST,,STATE,WISCONSIN,55,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,185,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,ALABAMA,1,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,124,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,ARKANSAS,5,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,176,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,CALIFORNIA,6,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,200,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,COLORADO,8,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,124,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,DELAWARE,10,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,GEORGIA,13,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,168,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,IDAHO,16,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,200,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,ILLINOIS,17,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,215,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,191,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,IOWA,19,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,202,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,115,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,KENTUCKY,21,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,153,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,LOUISIANA,22,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,MARYLAND,24,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,170,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,164,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,MINNESOTA,27,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,191,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,MISSISSIPPI,28,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,167,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,MISSOURI,29,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,154,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,168,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,NEW YORK,36,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,156,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,NORTH CAROLINA,37,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,112,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,NORTH DAKOTA,38,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,143,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,OHIO,39,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,186,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,OKLAHOMA,40,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,122,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,OTHER STATES,,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,147.1,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,PENNSYLVANIA,42,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,142,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,SOUTH CAROLINA,45,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,123,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,SOUTH DAKOTA,46,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,125,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,TENNESSEE,47,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,130,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,TEXAS,48,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,94,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,VIRGINIA,51,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,164,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,WASHINGTON,53,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,250,
SURVEY,2022,YEAR - NOV FORECAST,,STATE,WISCONSIN,55,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,182,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,ALABAMA,1,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,129,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,ARKANSAS,5,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,176,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,CALIFORNIA,6,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,200,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,COLORADO,8,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,125,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,DELAWARE,10,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,170,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,GEORGIA,13,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,171,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,IDAHO,16,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,200,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,ILLINOIS,17,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,210,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,187,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,IOWA,19,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,200,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,115,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,KENTUCKY,21,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,LOUISIANA,22,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,MARYLAND,24,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,174,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,166,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,MINNESOTA,27,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,190,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,MISSISSIPPI,28,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,167,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,MISSOURI,29,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,151,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,172,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,NEW YORK,36,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,154,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,NORTH CAROLINA,37,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,116,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,NORTH DAKOTA,38,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,141,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,OHIO,39,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,187,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,OKLAHOMA,40,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,125,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,OTHER STATES,,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,147.1,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,PENNSYLVANIA,42,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,148,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,SOUTH CAROLINA,45,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,125,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,SOUTH DAKOTA,46,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,130,
SURVEY,2022,YEAR - OCT FORECAST,,STATE,TENNESSEE,47,,,,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,126,
